id,type,domain,enabled,date_added,date_modified,comment
94,0,hls.ted.com,1,1618324104,1618324104,"Used by ted.com streams. - qjz9zk"
95,0,i.ytimg.com,1,1618324104,1618324104,"Owned by Google. Used to deliver thumbails in YouTube. - qjz9zk"
96,0,i1.ytimg.com,1,1618324104,1618324104,"Owned by Google. Used to deliver thumbails in YouTube. - qjz9zk"
97,0,imagesak.secureserver.net,1,1618324104,1618324104,"GoDaddy webmail buttons - qjz9zk"
98,0,img.vidible.tv,1,1618324104,1618324104,"Video delivery systems, popular in entertainment and news sites. - qjz9zk"
99,0,imgix.net,1,1618324104,1618324104,"Image placeholders often used during web page loading. - qjz9zk"
100,0,imgs.xkcd.com,1,1618324104,1618324104,"Used to deliver images on xkcd.com. - qjz9zk"
101,0,instantmessaging-pa.googleapis.com,1,1618324104,1618324104,"An important domain used to provide APIs to various Google services. - qjz9zk"
102,0,intercom.io,1,1618324104,1618324104,"Live chat platform for websites to chat with the website owner. Blocking this domain will block chat widget. - qjz9zk"
103,0,jquery.com,1,1618324104,1618324104,"jQuery is a JavaScript library. Also used to deliver the files over CDN. - qjz9zk"
104,0,jsdelivr.net,1,1618324104,1618324104," jsDelivr is a free public CDN for open-source projects. It can serve web files directly from the npm registry and GitHub repositories without any configuration. - qjz9zk"
105,0,keystone.mwbsys.com,1,1618324104,1618324104,"Owned by Malwarebytes. It is a licensing system used to verify the Malwarebytes software license. - qjz9zk"
106,0,lastfm-img2.akamaized.net,1,1618324104,1618324104,"Used by last.fm to deliver images. - qjz9zk"
107,0,licensing.xboxlive.com,1,1618324104,1618324104,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
108,0,live.com,1,1618324104,1618324104,"Owned by Microsoft. It is a personal information manager web app from Microsoft consisting of webmail, calendaring, contacts, and tasks services. - qjz9zk"
109,0,login.live.com,1,1618324104,1618324104,"Owned by Microsoft. The following endpoint is used to authenticate a device.  - qjz9zk"
